"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","immunoglobulin mediated immune response","68/1328","203/18860",0.334975369458128,4.75725562347914,14.8129137155893,8.04942363729899e-29,4.35715301486994e-25,3.56886024845298e-25,"IGHV4-59/IGHV1-24/IGHV1-18/IGHV4-34/IGKC/IGHG1/IGLC3/IGHV3-33/IGHV3-21/IGLC2/IGHV5-51/IGHV3-23/EXO1/IGHV4-28/IGHV3-11/IGHV3-20/C1QC/IGHG3/IGHV3-30/C1QB/CLU/IGHV3-49/IGHV4-61/IGHA2/IGHV3-66/IGHV3-7/IGHV2-5/IGHA1/IGHV3-15/IGHV3-43/IGHV6-1/IGHV3-53/IGHV4-39/IGHV2-26/IGHV3-48/IGHV3-74/IGLC6/IGHV1-69-2/IGHV2-70/IGHV1-3/IGHV3-13/IGHV3-64/IGHV1-58/C1QA/IGHV1-69/IGHV1-45/IGHV4-4/IGHG2/IGHV3-73/IGHG4/IGLL5/FCGR1A/IGHV2-70D/IGHV7-4-1/IGHV3-72/FCGR3B/TNFSF4/C3/AICDA/IGLL1/IGLC7/IL9R/IL10/TNF/IGHV1-69D/XCL1/FOXJ1/IGHV3-64D",68
"GO:0019724","B cell mediated immunity","68/1328","206/18860",0.330097087378641,4.68797520177799,14.6479973564187,2.19465917355112e-28,5.93984505321611e-25,4.86521286263017e-25,"IGHV4-59/IGHV1-24/IGHV1-18/IGHV4-34/IGKC/IGHG1/IGLC3/IGHV3-33/IGHV3-21/IGLC2/IGHV5-51/IGHV3-23/EXO1/IGHV4-28/IGHV3-11/IGHV3-20/C1QC/IGHG3/IGHV3-30/C1QB/CLU/IGHV3-49/IGHV4-61/IGHA2/IGHV3-66/IGHV3-7/IGHV2-5/IGHA1/IGHV3-15/IGHV3-43/IGHV6-1/IGHV3-53/IGHV4-39/IGHV2-26/IGHV3-48/IGHV3-74/IGLC6/IGHV1-69-2/IGHV2-70/IGHV1-3/IGHV3-13/IGHV3-64/IGHV1-58/C1QA/IGHV1-69/IGHV1-45/IGHV4-4/IGHG2/IGHV3-73/IGHG4/IGLL5/FCGR1A/IGHV2-70D/IGHV7-4-1/IGHV3-72/FCGR3B/TNFSF4/C3/AICDA/IGLL1/IGLC7/IL9R/IL10/TNF/IGHV1-69D/XCL1/FOXJ1/IGHV3-64D",68
"GO:0007088","regulation of mitotic nuclear division","42/1328","119/18860",0.352941176470588,5.012402551382,12.0843761488338,2.90041090631517e-19,5.233308078628e-16,4.28650201312263e-16,"PLK1/UBE2C/AURKB/CDC20/BIRC5/MKI67/PKMYT1/BUB1/ZWINT/CDCA2/DLGAP5/SKA1/TRIP13/ESPL1/SPC25/BUB1B/CCNB1/SKA3/SPC24/CENPF/NUF2/NEK2/CDC25C/CDCA8/TTK/KNL1/NDC80/CHEK1/AURKA/FBXO43/MAD2L1/EGF/FBXO5/IGF1/CAV2/HASPIN/SPHK1/TOM1L1/IL1B/TNF/EDN1/IL1A",42
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","82/1328","402/18860",0.203980099502488,2.89688605166936,10.5804608745321,1.00262537403884e-18,1.32266445282474e-15,1.08336901908618e-15,"IGHV4-59/IGHV1-24/IGHV1-18/IGHV4-34/IGKC/IGHG1/IGLC3/IGHV3-33/IGHV3-21/IGLC2/IGHV5-51/IGHV3-23/EXO1/IGHV4-28/IGHV3-11/IGHV3-20/C1QC/IGHG3/IGHV3-30/C1QB/CLU/IGHV3-49/IGHV4-61/IGHA2/IGHV3-66/IGHV3-7/IGHV2-5/IGHA1/IGHV3-15/IGHV3-43/IGHV6-1/IGHV3-53/LGALS1/IGHV4-39/IGHV2-26/IGHV3-48/IGHV3-74/IGLC6/IGHV1-69-2/IGHV2-70/IGHV1-3/IGHV3-13/IGHV3-64/IGHV1-58/C1QA/IGHV1-69/IGHV1-45/IGHV4-4/EBI3/IGHG2/IGHV3-73/IGHG4/IGLL5/HLX/IL23R/FCGR1A/IGHV2-70D/IGHV7-4-1/EPHB2/IGHV3-72/IL23A/IL12A/LILRB4/FCGR3B/FZD5/TNFSF4/C3/AICDA/IGLL1/ARG1/IL1B/IGLC7/RORC/IL9R/IL10/TNF/IGHV1-69D/RSAD2/XCL1/TNFAIP3/FOXJ1/IGHV3-64D",82
"GO:0002449","lymphocyte mediated immunity","80/1328","388/18860",0.206185567010309,2.92820767606508,10.5622233538447,1.37316783178453e-18,1.32266445282474e-15,1.08336901908618e-15,"IGHV4-59/IGHV1-24/IGHV1-18/IGHV4-34/IGKC/IGHG1/IGLC3/IGHV3-33/IGHV3-21/IGLC2/IGHV5-51/IGHV3-23/EXO1/IGHV4-28/IGHV3-11/IGHV3-20/C1QC/IGHG3/IGHV3-30/C1QB/CLU/IGHV3-49/IGHV4-61/IGHA2/IGHV3-66/IGHV3-7/IGHV2-5/IGHA1/IGHV3-15/IGHV3-43/IGHV6-1/IGHV3-53/IGHV4-39/KLRK1/IGHV2-26/IGHV3-48/IGHV3-74/IGLC6/IGHV1-69-2/IGHV2-70/IGHV1-3/IGHV3-13/IGHV3-64/IGHV1-58/KIR2DL4/C1QA/IGHV1-69/IGHV1-45/IGHV4-4/IGHG2/IGHV3-73/IGHG4/IGLL5/IL23R/FCGR1A/IGHV2-70D/IGHV7-4-1/IGHV3-72/IL23A/IL12A/LILRB4/FCGR3B/IL18RAP/FZD5/TNFSF4/C3/AICDA/IGLL1/ARG1/IL1B/IGLC7/KLRC4/IL9R/IL10/TNF/IGHV1-69D/RSAD2/XCL1/FOXJ1/IGHV3-64D",80
"GO:0051783","regulation of nuclear division","46/1328","147/18860",0.312925170068027,4.44410294238177,11.5373407409111,1.46609767540152e-18,1.32266445282474e-15,1.08336901908618e-15,"PLK1/UBE2C/AURKB/CDC20/BIRC5/MKI67/PKMYT1/BUB1/ZWINT/CDCA2/DLGAP5/SKA1/TRIP13/ESPL1/SPC25/BUB1B/CCNB1/SKA3/SPC24/CENPF/NUF2/NEK2/CDC25C/CDCA8/TTK/KNL1/NDC80/CHEK1/AURKA/FBXO43/MAD2L1/EGF/FBXO5/RAD51AP1/IGF1/CAV2/HASPIN/SPHK1/TOM1L1/GPR3/HORMAD1/IL1B/PDE3A/TNF/EDN1/IL1A",46
"GO:0140014","mitotic nuclear division","65/1328","281/18860",0.231316725978648,3.28511555117266,10.6216697764705,5.7979748114591e-18,4.48349109348973e-15,3.67234133922793e-15,"PLK1/UBE2C/AURKB/TPX2/CDC20/BIRC5/MKI67/PKMYT1/KIF4A/CDT1/BUB1/UHRF1/ZWINT/CDCA2/MYBL2/NCAPG/DLGAP5/SKA1/TRIP13/KIFC1/ESPL1/KIF2C/SPC25/BUB1B/NCAPH/ANLN/CCNB1/SKA3/SPC24/KIF15/KIF11/CENPF/NUF2/NEK2/CDC25C/KIF14/CDCA8/TTK/CDK1/KNL1/KIF18B/NDC80/CENPE/SPAG5/CHEK1/KIF23/AURKA/FBXO43/MAD2L1/EGF/FBXO5/TUBG1/IGF1/CAV2/HSPA1A/HASPIN/SPHK1/HSPA1B/CENPI/TOM1L1/IL1B/NFIB/TNF/EDN1/IL1A",65
"GO:0002443","leukocyte mediated immunity","90/1328","488/18860",0.184426229508197,2.61918575943117,9.97403769021588,1.82501416386122e-17,1.2348502086226e-14,1.0114420602873e-14,"IGHV4-59/IGHV1-24/IGHV1-18/IGHV4-34/IGKC/IGHG1/IGLC3/IGHV3-33/IGHV3-21/IGLC2/IGHV5-51/IGHV3-23/EXO1/IGHV4-28/IGHV3-11/IGHV3-20/C1QC/IGHG3/IGHV3-30/C1QB/CLU/IGHV3-49/IGHV4-61/IGHA2/IGHV3-66/IGHV3-7/IGHV2-5/IGHA1/IGHV3-15/IGHV3-43/IGHV6-1/IGHV3-53/ANXA3/GATA1/IGHV4-39/KLRK1/IGHV2-26/IGHV3-48/IGHV3-74/IGLC6/IGHV1-69-2/IGHV2-70/IGHV1-3/IGHV3-13/IGHV3-64/IGHV1-58/KIR2DL4/C1QA/IGHV1-69/IGHV1-45/IGHV4-4/IGHG2/ELANE/IGHV3-73/IGHG4/IGLL5/GATA2/IL23R/FCGR1A/IGHV2-70D/IGHV7-4-1/IGHV3-72/IL23A/IL12A/LILRB4/FCGR3B/IL18RAP/FZD5/CCL3/TNFSF4/C3/AICDA/IGLL1/ARG1/IL1B/IGLC7/SLC18A2/KLRC4/IL9R/IL10/TNF/AZU1/CTSG/SCNN1B/IGHV1-69D/RSAD2/XCL1/NR4A3/FOXJ1/IGHV3-64D",90
"GO:0000280","nuclear division","83/1328","453/18860",0.183222958057395,2.60209713024283,9.49924467595985,5.06479494746455e-16,3.04619278340285e-13,2.49507793201412e-13,"PLK1/UBE2C/AURKB/TPX2/CDC20/BIRC5/MKI67/PKMYT1/KIF4A/CDT1/BUB1/UHRF1/ASPM/CCNB2/ZWINT/CDCA2/MYBL2/NCAPG/TOP2A/DLGAP5/SKA1/TRIP13/KIFC1/ESPL1/KIF2C/RAD54L/SPC25/BUB1B/RAD51/NCAPH/ANLN/CCNB1/SKA3/SPC24/KIF15/KIF11/CENPF/NUF2/NEK2/CDC25C/KIF14/CDCA8/TTK/CDK1/KNL1/KIF18B/NDC80/CENPE/SPAG5/CHEK1/MND1/KIF23/AURKA/FBXO43/MAD2L1/EGF/FBXO5/PTTG1/SGO1/TUBG1/RAD51AP1/IGF1/CAV2/HSPA1A/DMC1/HASPIN/EME1/CCNE2/CCNE1/SPHK1/HSPA1B/CENPI/TOM1L1/GPR3/CCNA1/HORMAD1/IL1B/SPDYA/PDE3A/NFIB/TNF/EDN1/IL1A",83
"GO:0000070","mitotic sister chromatid segregation","47/1328","192/18860",0.244791666666667,3.47648406124498,9.49248440274626,2.44748915287971e-14,1.32482587845378e-11,1.08513940125572e-11,"PLK1/UBE2C/AURKB/TPX2/CDC20/BIRC5/KIF4A/CDT1/BUB1/UHRF1/ZWINT/MYBL2/NCAPG/DLGAP5/SKA1/TRIP13/KIFC1/ESPL1/KIF2C/SPC25/BUB1B/NCAPH/CCNB1/SKA3/SPC24/KIF15/KIF11/CENPF/NUF2/NEK2/KIF14/CDCA8/TTK/CDK1/KNL1/KIF18B/NDC80/CENPE/SPAG5/KIF23/MAD2L1/FBXO5/TUBG1/HSPA1A/HASPIN/HSPA1B/CENPI",47
