"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05322","Systemic lupus erythematosus",99,0.727702570791803,1.98438662877056,1.08177324059689e-10,9.41142719319297e-09,7.17386464816887e-09,1735,"tags=53%, list=11%, signal=47%","8348/102723407/8352/714/8355/2903/8331/8356/713/1991/8358/1511/85235/8970/8365/8329/8345/8343/8357/2904/2215/8340/3017/3012/8370/8347/8339/8334/8336/8360/8349/712/8969/2209/8366/8332/8363/8362/85236/8361/8294/3586/55766/8354/3018/716/8364/8341/8338/717/92815/128312"
"hsa04613","Neutrophil extracellular trap formation",155,0.705341051708238,1.96587625597998,1e-10,9.41142719319297e-09,7.17386464816887e-09,1777,"tags=37%, list=11%, signal=33%","8348/102723407/8352/8355/8331/3674/8356/1991/8358/1511/85235/8970/6403/3690/8365/8329/8345/8343/8357/2215/8340/3017/3012/8370/8347/8339/2811/8334/8336/8360/6300/7450/8349/8969/2209/8366/8332/8363/8362/85236/820/5332/8361/8294/4353/366/55766/8354/566/3018/8364/8341/2358/8338/92815/128312/2357"
"hsa05034","Alcoholism",135,0.705993072960925,1.95620304467438,1e-10,9.41142719319297e-09,7.17386464816887e-09,1735,"tags=39%, list=11%, signal=35%","4129/8348/8352/8355/2903/8331/90993/8356/8358/85235/8970/8365/8329/8345/8343/8357/2904/8340/3017/3012/8370/8347/8339/84699/8334/8336/8360/2791/8349/4128/8969/4915/8366/8332/116444/8363/8362/85236/8361/8294/55766/8354/6571/3018/8364/94235/8341/25759/8338/2775/92815/128312"
"hsa04110","Cell cycle",155,0.696600175799766,1.94151431027539,1e-10,9.41142719319297e-09,7.17386464816887e-09,1601,"tags=28%, list=10%, signal=25%","995/5347/890/991/9133/9212/9088/699/993/9319/8318/990/113130/9700/81620/701/983/1869/157570/4998/90381/7272/891/8900/57082/1870/4171/151648/1111/4173/10403/9232/4085/9134/23594/1031/1029/26271/898/4175/5111/7533/4176"
"hsa04512","ECM-receptor interaction",66,0.753741005641251,1.99304291475231,6.61791081328458e-09,4.60606592604607e-07,3.51097584199519e-07,2032,"tags=55%, list=13%, signal=48%","6382/6696/3674/8516/3161/2335/3690/1278/51206/2815/3693/3672/80144/284217/2811/158326/5649/3679/3680/7450/3909/3915/1282/3673/3696/1293/7057/7148/1299/9899/6385/22801/3371/1286/3912/375790"
"hsa04820","Cytoskeleton in muscle cells",166,0.611247264166513,1.70672792639069,5.36432610205673e-07,3.1113091391929e-05,2.37159680301456e-05,2457,"tags=37%, list=15%, signal=31%","6382/10398/4635/81624/3674/7138/8516/2335/129446/3690/1278/7111/4604/3693/3672/2274/284217/10529/3679/3680/6383/1282/9172/2200/85301/287/3673/7125/1829/3696/1293/7057/255631/83660/9124/6712/1158/2273/4001/7171/9260/8082/4607/57731/1299/7168/482/6385/4703/22801/64423/1286/7414/375790/1756/2023/1837/1466/1462/3339/71"
"hsa04814","Motor proteins",155,0.599522845013642,1.67094729999836,1.51552540294074e-06,7.53432628890541e-05,5.7430436321965e-05,2473,"tags=32%, list=15%, signal=28%","147700/10398/24137/10112/4635/7138/146909/11004/200132/3833/9928/1770/56992/3832/1767/146754/1780/1769/9493/1062/81027/55567/140465/7125/51807/4645/84790/26153/547/3797/8701/7283/7171/3801/140735/347240/84617/7168/55930/56171/127602/203068/4648/4651/83658/4637/3798/4642/71/10376"
"hsa05321","Inflammatory bowel disease",56,-0.569930074709421,-2.14034948142037,2.06975405942838e-06,9.00343015851344e-05,6.86286872336778e-05,2279,"tags=39%, list=14%, signal=34%","3725/8809/6775/3117/3127/30009/2625/3113/3122/3569/3109/3111/50615/3458/6097/8807/7124/51561/3120/3553/149233/3552"
"hsa04510","Focal adhesion",168,0.587885896969221,1.64074969608021,3.72819484506598e-06,0.000144156867342551,0.000109883637538787,1985,"tags=26%, list=12%, signal=23%","3479/10398/857/6696/3674/8516/4233/2335/1950/858/3690/1278/3693/4638/3672/7424/284217/5649/9564/3679/5154/3680/2012/7450/3909/3915/5602/1282/3673/1793/3696/1293/7057/83660/7148/29780/1299/25759/22801/3371/1286/7414/3912"
"hsa04114","Oocyte meiosis",112,0.62399808895711,1.71639888906587,8.8607955099367e-06,0.000308355683745797,0.000235044259842531,1249,"tags=21%, list=8%, signal=19%","3479/995/5347/991/9133/9088/699/9700/983/387778/286151/891/108/6300/151648/367/9232/4085/6790/9134/112/26271/898"
