"STRING_ID","Degree","GeneSymbol"
"9606.ENSP00000481380",118,"CCNA2"
"9606.ENSP00000302530",116,"BUB1"
"9606.ENSP00000256442",112,"CCNB1"
"9606.ENSP00000247191",110,"DLGAP5"
"9606.ENSP00000287598",110,"BUB1B"
"9606.ENSP00000313950",110,"AURKB"
"9606.ENSP00000271452",108,"NUF2"
"9606.ENSP00000288207",108,"CCNB2"
"9606.ENSP00000301633",108,"BIRC5"
"9606.ENSP00000361540",108,"CDC20"
"9606.ENSP00000411532",108,"TOP2A"
"9606.ENSP00000260731",106,"KIF11"
"9606.ENSP00000298048",104,"MELK"
"9606.ENSP00000300093",102,"PLK1"
"9606.ENSP00000363524",102,"KIF4A"
"9606.ENSP00000378356",102,"KIF20A"
"9606.ENSP00000300403",100,"TPX2"
"9606.ENSP00000348838",100,"UBE2C"
"9606.ENSP00000405726",100,"CDC45"
"9606.ENSP00000428489",100,"PBK"
"9606.ENSP00000360540",98,"CEP55"
"9606.ENSP00000251496",96,"NCAPG"
"9606.ENSP00000355922",96,"CENPF"
"9606.ENSP00000356379",96,"ASPM"
"9606.ENSP00000361298",96,"KIF2C"
"9606.ENSP00000336868",90,"CENPA"
"9606.ENSP00000353770",90,"RRM2"
"9606.ENSP00000414109",90,"HJURP"
"9606.ENSP00000442068",90,"CDCA3"
"9606.ENSP00000357643",88,"MKI67"
"9606.ENSP00000363055",88,"ZWINT"
"9606.ENSP00000275517",86,"CDCA5"
"9606.ENSP00000324020",84,"KIF15"
"9606.ENSP00000377492",84,"HMMR"
"9606.ENSP00000257934",78,"ESPL1"
"9606.ENSP00000342307",78,"FOXM1"
"9606.ENSP00000166345",70,"TRIP13"
"9606.ENSP00000418268",70,"MCM10"
"9606.ENSP00000240423",68,"NCAPH"
"9606.ENSP00000282074",66,"SPC25"
"9606.ENSP00000328228",66,"CDCA2"
"9606.ENSP00000393963",66,"KIFC1"
"9606.ENSP00000335357",64,"CDKN3"
"9606.ENSP00000265748",62,"ANLN"
"9606.ENSP00000285116",60,"SKA1"
"9606.ENSP00000209728",58,"CDC6"
"9606.ENSP00000305204",58,"CKAP2L"
"9606.ENSP00000493712",58,"RAD51"
"9606.ENSP00000315644",54,"TYMS"
"9606.ENSP00000468425",54,"TK1"
"9606.ENSP00000355958",52,"DTL"
"9606.ENSP00000257909",48,"TROAP"
"9606.ENSP00000301019",48,"CDT1"
"9606.ENSP00000319417",48,"SKA3"
"9606.ENSP00000415430",42,"GTSE1"
"9606.ENSP00000306473",40,"SHCBP1"
"9606.ENSP00000217026",38,"MYBL2"
"9606.ENSP00000265036",34,"DEPDC1B"
"9606.ENSP00000303706",30,"CDC25A"
"9606.ENSP00000465075",30,"SPC24"
"9606.ENSP00000479617",28,"UHRF1"
"9606.ENSP00000253462",20,"GINS2"
"9606.ENSP00000306999",18,"ESCO2"
"9606.ENSP00000262300",16,"PKMYT1"
"9606.ENSP00000312995",16,"CLSPN"
"9606.ENSP00000361043",12,"RAD54L"
"9606.ENSP00000303920",6,"MZB1"
"9606.ENSP00000053243",4,"TNFRSF17"
"9606.ENSP00000440066",4,"JCHAIN"
"9606.ENSP00000260118",2,"GGH"
"9606.ENSP00000264233",2,"POLQ"
"9606.ENSP00000370737",2,"GLDC"
"9606.ENSP00000384744",2,"DERL3"
