"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","48/687","143/9419",0.335664335664336,4.60207041866431,12.1742073857374,2.28756725770083e-20,7.59472329556674e-18,6.260710389497e-18,"H2AC14/H2BC4/C1QC/C1QB/H2AC12/H2BC7/H2AC13/H2BC21/H2BC12/H3C8/H2BC11/H2BC8/H3C3/H2AJ/H2AC11/H4C8/LOC102723407/H2AC6/H4C9/H3C10/H3C2/H2AC8/H2BC9/H2BC17/H2BC5/H3C12/C1QA/GRIN2A/ELANE/H4C12/H2AC16/H2BC13/FCGR1A/H4C11/H2AC17/FCGR3B/H4C14/GRIN2B/H4C4/C3/H4C2/H4C6/IL10/TNF/CTSG/H3C11/HLA-DQA1/HLA-DQB2",48
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","50/687","195/9419",0.256410256410256,3.5154704587019,9.95583586327349,1.1685701020203e-15,1.93982636935369e-13,1.59909592908041e-13,"H2AC14/H2BC4/H2AC12/H2BC7/H2AC13/H2BC21/H2BC12/H3C8/H2BC11/ITGA2B/H2BC8/H3C3/SELP/H2AJ/H2AC11/H4C8/LOC102723407/H2AC6/H4C9/MAPK12/H3C10/H3C2/H2AC8/H2BC9/H2BC17/H2BC5/ITGB3/H3C12/GP1BA/ELANE/H4C12/H2AC16/H2BC13/FCGR1A/VWF/H4C11/H2AC17/FCGR3B/H4C14/CAMP/H4C4/C3/H4C2/H4C6/AQP9/PLCB4/MPO/AZU1/CTSG/H3C11",50
"Human Diseases","Substance dependence","hsa05034","Alcoholism","45/687","191/9419",0.235602094240838,3.23018358901667,8.73382236087385,8.69724699541913e-13,9.62495334159718e-11,7.93433059231219e-11,"H2AC14/H2BC4/H2AC12/H2BC7/H2AC13/H2BC21/H2BC12/H3C8/H2BC11/H2BC8/H3C3/H2AJ/MAOB/H2AC11/H4C8/H2AC6/H4C9/H3C10/H3C2/H2AC8/H2BC9/H2BC17/H2BC5/GNG11/H3C12/GRIN2A/H4C12/H2AC16/H2BC13/CREB3L1/H4C11/H2AC17/H4C14/GRIN2B/H4C4/NTRK2/FOSB/H4C2/SLC18A2/H4C6/SLC18A1/MAOA/CREB3L3/GRIN3B/H3C11",45
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","40/687","158/9419",0.253164556962025,3.47097083264238,8.78553207116993,1.42775179291356e-12,1.18503398811826e-10,9.76882805677699e-11,"PLK1/CCNA2/AURKB/CDC20/PKMYT1/CDT1/BUB1/CCNB2/CDC45/CDC6/CDCA5/TRIP13/ESPL1/BUB1B/CCNB1/CDC25A/ESCO2/E2F2/CDC25C/MCM2/TTK/ORC1/CDK1/KNL1/TICRR/E2F1/CDKN2C/NDC80/MCM6/MCM4/CHEK1/MAD2L1/FBXO5/PTTG1/SGO1/ORC6/CCNE2/CDKN2A/CCNE1/CCNA1",40
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","28/687","89/9419",0.314606741573034,4.313363753823,8.80895003274757,1.27910623347187e-11,8.49326539025323e-10,7.00142359374077e-10,"HMMR/SDC1/ITGA2B/GP9/LAMC1/ITGA1/GP6/ITGB3/ITGB5/GP1BA/ITGA7/FN1/ITGA8/VWF/ITGA9/ITGA2/ITGB8/SPP1/COL4A1/LAMA1/LAMA3/COL1A2/TNXB/FREM1/COL6A3/FRAS1/RELN/THBS1",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","33/687","154/9419",0.214285714285714,2.93792888334373,6.80105570875473,1.31700686263909e-08,7.2874379732696e-07,6.00739972431863e-07,"EGF/ITGA2B/IGF1/LIMS1/LAMC1/ITGA1/MET/ITGB3/ITGB5/ITGA7/FN1/ITGA8/VWF/ITGA9/ITGA2/FBN1/PDGFA/ITGB8/SPP1/C3/VEGFC/COL4A1/LAMA1/LAMA3/COL1A2/TNXB/TLN2/FREM1/COL6A3/FRAS1/ITGAD/RELN/THBS1",33
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","35/687","203/9419",0.172413793103448,2.36385082567886,5.5099099985691,1.34187661934554e-06,6.34615471051742e-05,5.23145283682476e-05,"CAV1/MYL9/EGF/ITGA2B/IGF1/CAV2/LAMC1/ITGA1/MET/ITGB3/ITGB5/MYLK/ITGA7/FN1/MAPK10/ITGA8/DOCK1/VWF/ITGA9/ITGA2/PDGFA/ITGB8/EMP1/SPP1/VEGFC/COL4A1/LAMA1/LAMA3/COL1A2/TNXB/BCAR1/TLN2/COL6A3/RELN/THBS1",35
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/687","50/9419",0.3,4.11310043668122,6.19059457984524,1.52919390614878e-06,6.34615471051742e-05,5.23145283682476e-05,"SDC1/SELP/KLRK1/HBA2/MET/GYPB/GYPA/HBB/HBA1/IL12A/SDC2/IL1B/IL10/TNF/THBS1",15
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","38/687","233/9419",0.163090128755365,2.23602026600696,5.35847463931859,1.9565787992684e-06,7.21760179285677e-05,5.9498302667811e-05,"DIAPH3/SDC1/MYL9/ITGA2B/TNNT1/ITGA1/ITGB3/ITGB5/TMOD1/FHL2/COL24A1/PDLIM1/ITGA7/FN1/ITGA8/XIRP2/TNNC2/ITGA9/MYBPC1/ITGA2/FBN1/MYL4/FHL1/SDC2/ITGB8/COL4A1/COL27A1/LAMA1/COL1A2/TLN2/COL6A3/ANK2/COL5A3/DSG2/MYOM2/SPTBN2/THBS1/NEBL",38
"Cellular Processes","Cell motility","hsa04814","Motor proteins","33/687","195/9419",0.169230769230769,2.32021050274325,5.22518522323034,4.09403491368339e-06,0.000135921959134288,0.000112047271321861,"KIF4A/KIF20A/KIFC1/KIF2C/KIF15/KIF11/KIF14/MYL6B/KIF18B/CENPE/MYL9/KIF23/TUBG1/DNAH8/TNNT1/TUBA1C/KLC3/TUBB1/DYNLT5/TNNC2/KIF3C/DNAH9/DNAH3/MYL4/DNAH2/DYNC1I1/MYO5B/TUBA8/DNAH5/DNAH11/KIF1A/MYO16/KIF26A",33
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","32/687","201/9419",0.159203980099502,2.18273986689551,4.75411585264294,2.08786444891981e-05,0.000630155451855798,0.000519468666716891,"CCNA2/CDKN2C/H3C8/H3C3/PPARG/IGF1/LOC102723407/H3C10/H3C2/MET/H3C12/PTCRA/MEIS1/ELANE/RUNX1T1/FCGR1A/BCL2L1/PROM1/PBX1/PDGFA/CCNA1/IL1R2/WT1/MYCN/ERG/NTRK1/ETV7/FLT3/MLF1/MPO/H3C11/NR4A3",32
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","32/687","205/9419",0.15609756097561,2.14014982071218,4.62930289879835,3.12765510245407e-05,0.00086531791167896,0.000713324847928121,"CCNA2/CDC20/CDK1/H2BC4/H2BC7/CHEK1/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H4C9/H2BC9/H2BC17/H2BC5/CCNE2/CDKN2A/CCNE1/H4C12/H2BC13/CREB3L1/H4C11/H4C14/H4C4/C3/CCR3/CCNA1/H4C2/SCIN/H4C6/CREB3L3/EGR3",32
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","45/687","333/9419",0.135135135135135,1.852747944451,4.44382839625618,3.7402080221555e-05,0.000955191587196636,0.000787412215190632,"CCNA2/E2F1/EGF/ITGA2B/TUBG1/LAMC1/ITGA1/ITGB3/ITGB5/TERT/WNT11/CCNE2/ITGA7/CCNE1/PARD3/FN1/ITGA8/VWF/CREB3L1/ITGA9/ITGA2/FZD5/ITGB8/SPP1/OASL/CCNA1/PTGER4/FASLG/COL4A1/AXIN2/NOTCH3/LAMA1/LAMA3/MX1/ISG15/COL1A2/TNXB/WNT7A/HES1/CREB3L3/MAGI1/COL6A3/TNF/RELN/THBS1",45
