"from","to","combined_score"
"9606.ENSP00000217026","9606.ENSP00000240423",716
"9606.ENSP00000217026","9606.ENSP00000240423",716
"9606.ENSP00000166345","9606.ENSP00000247191",789
"9606.ENSP00000166345","9606.ENSP00000247191",789
"9606.ENSP00000209728","9606.ENSP00000247191",855
"9606.ENSP00000209728","9606.ENSP00000247191",855
"9606.ENSP00000240423","9606.ENSP00000247191",818
"9606.ENSP00000240423","9606.ENSP00000247191",818
"9606.ENSP00000166345","9606.ENSP00000251496",711
"9606.ENSP00000166345","9606.ENSP00000251496",711
"9606.ENSP00000240423","9606.ENSP00000251496",999
"9606.ENSP00000240423","9606.ENSP00000251496",999
"9606.ENSP00000247191","9606.ENSP00000251496",948
"9606.ENSP00000247191","9606.ENSP00000251496",948
"9606.ENSP00000209728","9606.ENSP00000253462",705
"9606.ENSP00000209728","9606.ENSP00000253462",705
"9606.ENSP00000247191","9606.ENSP00000253462",720
"9606.ENSP00000247191","9606.ENSP00000253462",720
"9606.ENSP00000251496","9606.ENSP00000253462",852
"9606.ENSP00000251496","9606.ENSP00000253462",852
"9606.ENSP00000166345","9606.ENSP00000256442",797
"9606.ENSP00000166345","9606.ENSP00000256442",797
"9606.ENSP00000209728","9606.ENSP00000256442",931
"9606.ENSP00000209728","9606.ENSP00000256442",931
"9606.ENSP00000217026","9606.ENSP00000256442",931
"9606.ENSP00000217026","9606.ENSP00000256442",931
"9606.ENSP00000240423","9606.ENSP00000256442",889
"9606.ENSP00000240423","9606.ENSP00000256442",889
"9606.ENSP00000247191","9606.ENSP00000256442",965
"9606.ENSP00000247191","9606.ENSP00000256442",965
"9606.ENSP00000251496","9606.ENSP00000256442",962
"9606.ENSP00000251496","9606.ENSP00000256442",962
"9606.ENSP00000247191","9606.ENSP00000257909",770
"9606.ENSP00000247191","9606.ENSP00000257909",770
"9606.ENSP00000209728","9606.ENSP00000257934",855
"9606.ENSP00000209728","9606.ENSP00000257934",855
"9606.ENSP00000240423","9606.ENSP00000257934",719
"9606.ENSP00000240423","9606.ENSP00000257934",719
"9606.ENSP00000247191","9606.ENSP00000257934",820
"9606.ENSP00000247191","9606.ENSP00000257934",820
"9606.ENSP00000251496","9606.ENSP00000257934",730
"9606.ENSP00000251496","9606.ENSP00000257934",730
"9606.ENSP00000256442","9606.ENSP00000257934",999
"9606.ENSP00000256442","9606.ENSP00000257934",999
"9606.ENSP00000257909","9606.ENSP00000257934",846
"9606.ENSP00000257909","9606.ENSP00000257934",846
"9606.ENSP00000166345","9606.ENSP00000260731",789
"9606.ENSP00000166345","9606.ENSP00000260731",789
"9606.ENSP00000209728","9606.ENSP00000260731",870
"9606.ENSP00000209728","9606.ENSP00000260731",870
"9606.ENSP00000240423","9606.ENSP00000260731",908
"9606.ENSP00000240423","9606.ENSP00000260731",908
