"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000167900",471.29883376736,3.20188042355414,0.17955074888778,17.8327322129708,3.93702458991847e-71,7.40003141921076e-67,"TK1"
"ENSG00000166851",189.812839120947,3.87961386615112,0.221254468185632,17.5346238110596,7.79638483744654e-69,7.32704247023226e-65,"PLK1"
"ENSG00000171848",866.111344065648,3.81989557365335,0.221807217625194,17.2216919474106,1.82572018979963e-66,8.57905917186848e-63,"RRM2"
"ENSG00000145386",184.509792127082,3.7548958778926,0.217857875257211,17.2355296931976,1.4373074482966e-66,8.57905917186848e-63,"CCNA2"
"ENSG00000175063",144.856583494587,3.56738286044692,0.210505255874362,16.9467638498113,2.03342799645728e-64,7.64406252428222e-61,"UBE2C"
"ENSG00000178999",121.358150409981,3.21562864984684,0.191558076416836,16.7867035940032,3.05340040299177e-63,9.56528566243887e-60,"AURKB"
"ENSG00000088325",230.309610541229,3.16382583829462,0.191837163351722,16.4922467733425,4.1714503116643e-61,1.12009400082917e-57,"TPX2"
"ENSG00000111206",91.842588622523,3.07999291114991,0.188795681361678,16.3138949415349,7.8616006557129e-60,1.84708307405974e-56,"FOXM1"
"ENSG00000224373",1085.8410319577,3.80868181423566,0.237178320422452,16.058305023207,5.00029409409232e-58,1.04428364213955e-54,"IGHV4-59"
"ENSG00000117399",233.058048914507,3.66038884835011,0.23022100298135,15.8994566132033,6.39167450833687e-57,1.201379140587e-53,"CDC20"
"ENSG00000123485",88.4191444411283,3.23286799058575,0.204040477738445,15.8442482904294,1.54052126886554e-56,2.63233070632697e-53,"HJURP"
"ENSG00000089685",240.450598925555,3.84490484691392,0.246596104016087,15.5919123793744,8.26226414753783e-55,1.29414597430934e-51,"BIRC5"
"ENSG00000170476",1908.26398063197,3.6653869197368,0.23798378541594,15.4018346810081,1.59090675539544e-53,2.30020641341636e-50,"MZB1"
"ENSG00000148773",571.473464345751,3.1593004857716,0.208298304792078,15.1671924979187,5.83184781944415e-52,7.8296722581623e-49,"MKI67"
"ENSG00000127564",117.33028649769,3.21460287716396,0.213943381971998,15.0254840674842,4.99947841399881e-51,6.26467975130144e-48,"PKMYT1"
